parameter,2.5%,25%,50%,75%,97.5%,mode,mean,sd
m/mu Oahu to Kure,66.28822559970702,66.65445889031312,67.26484770798999,68.30250869804065,71.5986083134957,66.28822559970702,67.72034166362323,1.4557509240586728
m/mu Maro to P&H,1.1597387535860344,1.1597387535860344,1.1597387535860344,1.2818165171214062,1.4038942806567785,1.1597387535860344,1.211642584630919,0.14310275278319431
m/mu P&H to Maro,1.0986998718183483,1.1597387535860344,1.2207776353537203,1.2207776353537203,1.2818165171214062,1.1597387535860344,1.1965783195240804,0.067973519133632615
m/mu FFS to Maro,0.24415552707074406,0.24415552707074406,0.24415552707074406,0.24415552707074406,0.3051944088384301,0.24415552707074406,0.248627923551105,0.04352106830288797
m/mu Maro to FFS,1.0986998718183483,1.2207776353537203,1.2818165171214062,1.3428553988890923,1.4649331624244644,1.2818165171214062,1.2773146352281428,0.11712258975867491
m/mu Kauai to FFS,0.5493499359091741,0.6714276994445462,0.7324665812122322,0.7935054629799182,0.9155832265152902,0.6714276994445462,0.7239610671379126,0.10385335091470715
m/mu FFS to Kauai,0.12207776353537203,0.18311664530305805,0.18311664530305805,0.18311664530305805,0.24415552707074406,0.18311664530305805,0.17427998330695915,0.04609348302560923
m/mu Oahu to Kauai,0.18311664530305805,0.18311664530305805,0.24415552707074406,0.4883110541414881,0.6103888176768602,0.18311664530305805,0.3082269145713578,0.18253586816578618
m/mu Kauai to Oahu,0.3051944088384301,0.4272721723738021,0.4883110541414881,0.4883110541414881,0.6103888176768602,0.4883110541414881,0.4652694191801728,0.0897284298140189
m/mu Molokai to Oahu,0.18311664530305805,0.24415552707074406,0.24415552707074406,0.24415552707074406,0.3051944088384301,0.24415552707074406,0.23577218361880736,0.04993051342249541
m/mu Oahu to Molokai,0.3662332906061161,0.4272721723738021,0.4272721723738021,0.4883110541414881,0.5493499359091741,0.4272721723738021,0.4535246124187087,0.06323070763242523
m/mu Maui to Molokai,1.0376609900506621,1.2207776353537203,1.2818165171214062,1.4038942806567785,1.6480498077275225,1.2818165171214062,1.3024477226179554,0.1492564341649291
m/mu Molokai to Maui,0.18311664530305805,0.18311664530305805,0.24415552707074406,0.24415552707074406,0.24415552707074406,0.24415552707074406,0.21691247999587257,0.04390379172601834
m/mu Big Is. to Maui,0.7324665812122322,0.9155832265152902,1.0986998718183483,1.1597387535860344,1.2207776353537203,1.1597387535860344,1.0384907720676084,0.1729265867989351
m/mu Maui to Big Is.,1.9532442165659525,1.9532442165659525,1.9532442165659525,2.0142830983336384,2.0142830983336384,1.9532442165659525,1.9836222152211977,0.04540200089047548
